theta,registry,side,kind,grid_s,gross_bp,net_real_bp,peak_fav_bp,t_peak_c,giveback_bp,max_adv_bp,dur_c,frac_peak,clmx60_pk,er600_pk,slean_pk,hod_pk,slmax,t_slmax_c,slmax60,r8_a05x0_trig,r8_a05x0_t_c,r8_a05x0_gx,r8_a10x0_trig,r8_a10x0_t_c,r8_a10x0_gx,r8_a20x0_trig,r8_a20x0_t_c,r8_a20x0_gx,r8_a10xm10_trig,r8_a10xm10_t_c,r8_a10xm10_gx,dive_depth,lag_bp,hod_entry,entry_idx
80.0,0,1,confirm,1.0,-71.15,-87.15,8.71,3,79.86,71.15,563,0.005,2.845,0.099,-0.231,1,-0.0688,503,0.6196,0,-1,,0,-1,,0,-1,,0,-1,,0.5207,40.82,1,93101
80.0,0,-1,confirm,1.0,62.88,46.88,105.29,142,42.41,5.85,152,0.934,4.582,0.09,0.2784,2,0.3054,118,0.6834,1,27,2.92,0,-1,,0,-1,,0,-1,,0.4363,79.79,2,93664
80.0,0,1,confirm,1.0,-79.47,-95.47,0.0,0,79.47,79.47,49,0.0,3.728,0.055,-0.2522,2,-0.2255,29,0.0252,0,-1,,0,-1,,0,-1,,0,-1,,0.5815,42.86,2,93816
80.0,0,-1,confirm,1.0,31.15,15.15,75.66,25,44.5,0.0,47,0.532,2.738,0.136,0.2428,2,0.2516,22,0.2768,0,-1,,0,-1,,0,-1,,0,-1,,0.4024,79.47,2,93865
80.0,0,1,confirm,1.0,151.79,135.79,193.45,183,41.67,4.46,209,0.876,0.438,0.016,-0.2055,2,-0.1937,131,0.458,0,-1,,0,-1,,0,-1,,0,-1,,0.2071,44.84,2,93912
80.0,0,-1,confirm,1.0,23.45,7.45,70.36,94,46.91,0.0,112,0.839,0.349,0.057,0.2161,2,0.2183,75,0.4943,0,-1,,0,-1,,0,-1,,0,-1,,0.1757,40.88,2,94121
80.0,0,1,confirm,1.0,10.29,-5.71,51.43,227,41.14,17.63,276,0.822,0.2,0.063,-0.048,2,0.037,274,0.4521,0,-1,,0,-1,,0,-1,,0,-1,,0.3606,47.24,2,94233
80.0,0,-1,confirm,1.0,-1.47,-17.47,41.1,30,42.57,1.47,52,0.577,0.427,0.002,-0.0278,2,0.0023,52,0.3779,0,-1,,0,-1,,0,-1,,0,-1,,0.2732,40.93,2,94509
80.0,0,1,confirm,1.0,174.64,158.64,215.73,537,41.09,5.87,573,0.937,2.293,0.133,0.0871,2,0.1227,567,0.4653,0,-1,,0,-1,,0,-1,,0,-1,,0.1854,42.74,2,94561
80.0,0,-1,confirm,1.0,-69.23,-85.23,21.64,289,90.87,69.23,461,0.627,0.445,0.072,-0.0591,2,-0.0242,454,0.5346,0,-1,,0,-1,,0,-1,,0,-1,,0.0733,40.22,2,95134
80.0,0,1,fallback,1.0,-28.65,-44.65,11.46,14,40.11,28.65,128,0.109,0.704,0.099,0.0341,2,0.0477,79,0.355,0,-1,,0,-1,,0,-1,,0,-1,,0.0848,91.07,2,95595
80.0,0,-1,confirm,1.0,-70.39,-86.39,11.49,37,81.88,70.39,397,0.093,0.745,0.027,-0.0036,2,0.0205,81,0.3948,0,-1,,0,-1,,0,-1,,0,-1,,0.3137,40.06,2,95723
80.0,0,1,fallback,1.0,11.41,-4.59,52.78,579,41.37,12.84,756,0.766,0.368,0.073,0.1979,2,0.2831,422,0.5765,1,742,18.54,1,742,18.54,1,742,18.54,0,-1,,0.337,81.98,2,96120
